1. BoneName: RootNode, ParentIndex: -1
123. BoneName: M1A2_Wheel_007_$AssimpFbx$_Translation, ParentIndex: 0
124. BoneName: M1A2_Wheel_007_$AssimpFbx$_PreRotation, ParentIndex: 122
125. BoneName: M1A2_Wheel_007_$AssimpFbx$_Rotation, ParentIndex: 123
126. BoneName: M1A2_Wheel_007, ParentIndex: 124
127. BoneName: M1A2_Wheel_026_$AssimpFbx$_Translation, ParentIndex: 0
128. BoneName: M1A2_Wheel_026_$AssimpFbx$_PreRotation, ParentIndex: 126
129. BoneName: M1A2_Wheel_026_$AssimpFbx$_Rotation, ParentIndex: 127
130. BoneName: M1A2_Wheel_026, ParentIndex: 128
131. BoneName: M1A2_Chain_01_$AssimpFbx$_Translation, ParentIndex: 0
132. BoneName: M1A2_Chain_01_$AssimpFbx$_PreRotation, ParentIndex: 130
133. BoneName: M1A2_Chain_01, ParentIndex: 131
134. BoneName: M1A2_Chain_02_$AssimpFbx$_Translation, ParentIndex: 0
135. BoneName: M1A2_Chain_02_$AssimpFbx$_PreRotation, ParentIndex: 133
136. BoneName: M1A2_Chain_02, ParentIndex: 134
137. BoneName: M1A2_Shield_02_$AssimpFbx$_Translation, ParentIndex: 0
138. BoneName: M1A2_Shield_02_$AssimpFbx$_PreRotation, ParentIndex: 136
139. BoneName: M1A2_Shield_02, ParentIndex: 137
140. BoneName: M1A2_Shield_01_$AssimpFbx$_Translation, ParentIndex: 0
141. BoneName: M1A2_Shield_01_$AssimpFbx$_PreRotation, ParentIndex: 139
142. BoneName: M1A2_Shield_01, ParentIndex: 140
143. BoneName: M1A2_Wheel_023_$AssimpFbx$_Translation, ParentIndex: 0
144. BoneName: M1A2_Wheel_023_$AssimpFbx$_PreRotation, ParentIndex: 142
145. BoneName: M1A2_Wheel_023_$AssimpFbx$_Rotation, ParentIndex: 143
146. BoneName: M1A2_Wheel_023, ParentIndex: 144
147. BoneName: M1A2_Commander_Cupola_$AssimpFbx$_Translation, ParentIndex: 0
148. BoneName: M1A2_Commander_Cupola_$AssimpFbx$_PreRotation, ParentIndex: 146
149. BoneName: M1A2_Commander_Cupola, ParentIndex: 147
150. BoneName: M1A2_Wheel_021_$AssimpFbx$_Translation, ParentIndex: 0
151. BoneName: M1A2_Wheel_021_$AssimpFbx$_PreRotation, ParentIndex: 149
152. BoneName: M1A2_Wheel_021_$AssimpFbx$_Rotation, ParentIndex: 150
153. BoneName: M1A2_Wheel_021, ParentIndex: 151
154. BoneName: M1A2_Cupola_$AssimpFbx$_Translation, ParentIndex: 0
155. BoneName: M1A2_Cupola_$AssimpFbx$_PreRotation, ParentIndex: 153
156. BoneName: M1A2_Cupola, ParentIndex: 154
157. BoneName: M1A2_Wheel_027_$AssimpFbx$_Translation, ParentIndex: 0
158. BoneName: M1A2_Wheel_027_$AssimpFbx$_PreRotation, ParentIndex: 156
159. BoneName: M1A2_Wheel_027_$AssimpFbx$_Rotation, ParentIndex: 157
160. BoneName: M1A2_Wheel_027, ParentIndex: 158
161. BoneName: M1A2_Panel_01_$AssimpFbx$_Translation, ParentIndex: 0
162. BoneName: M1A2_Panel_01_$AssimpFbx$_PreRotation, ParentIndex: 160
163. BoneName: M1A2_Panel_01, ParentIndex: 161
164. BoneName: M1A2_Wheel_022_$AssimpFbx$_Translation, ParentIndex: 0
165. BoneName: M1A2_Wheel_022_$AssimpFbx$_PreRotation, ParentIndex: 163
166. BoneName: M1A2_Wheel_022_$AssimpFbx$_Rotation, ParentIndex: 164
167. BoneName: M1A2_Wheel_022, ParentIndex: 165
168. BoneName: M1A2_Shield_03_$AssimpFbx$_Translation, ParentIndex: 0
169. BoneName: M1A2_Shield_03_$AssimpFbx$_PreRotation, ParentIndex: 167
170. BoneName: M1A2_Shield_03, ParentIndex: 168
171. BoneName: M1A2_Main_Gun_$AssimpFbx$_Translation, ParentIndex: 0
172. BoneName: M1A2_Main_Gun_$AssimpFbx$_PreRotation, ParentIndex: 170
173. BoneName: M1A2_Main_Gun, ParentIndex: 171
174. BoneName: M1A2_Co-Axial_Gun_$AssimpFbx$_Translation, ParentIndex: 0
175. BoneName: M1A2_Co-Axial_Gun_$AssimpFbx$_PreRotation, ParentIndex: 173
176. BoneName: M1A2_Co-Axial_Gun, ParentIndex: 174
177. BoneName: M2-50_$AssimpFbx$_Translation, ParentIndex: 0
178. BoneName: M2-50_$AssimpFbx$_PreRotation, ParentIndex: 176
179. BoneName: M2-50, ParentIndex: 177
180. BoneName: M1A2_Optical_Periscope_02_$AssimpFbx$_Translation, ParentIndex: 0
181. BoneName: M1A2_Optical_Periscope_02_$AssimpFbx$_PreRotation, ParentIndex: 179
182. BoneName: M1A2_Optical_Periscope_02, ParentIndex: 180
183. BoneName: M240P_$AssimpFbx$_Translation, ParentIndex: 0
184. BoneName: M240P_$AssimpFbx$_PreRotation, ParentIndex: 182
185. BoneName: M240P, ParentIndex: 183
